"사업대분류명","사업중분류명","사업소분류명","사업명","사업내용","이용대상내용","이용방법내용","운영시간내용","문의처내용","대상아동나이","대상관심","대상지역","자세히보기사이트주소","신청하기사이트주소"
"탄생응원","탄생축하문화 확산","서울엄마아빠 행복축제","서울엄마아빠 행복축제","- 취지 : 저출생 시대 생명과 가족의 ‘위대한’ 탄생을 축하하고, 탄생의 소중한 기쁨과 행복을 널리 전파하고 되새길 수 있는 축제의 장 마련 - 행사주제 : '위대한 동행, 행복한 다둥이 가족' - 행사내용 : 공모전 당선작 시상, 서울엄빠 행복한 순간 영상 상영, 축하공연, 경품 추첨 등 - 행사일자 : 2024년 5월 25일 토요일 13:00~16:00","서울시 거주 다둥이 가족","- 신청 기간: 5/20~22 - 신청 방법: 축제 누리집(www.happyseoul.or.kr)에서 선착순 접수","","저출생정책추진반(02-2133-5322)","10세 이상","외출,문화","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://www.happyseoul.or.kr/","https://www.happyseoul.or.kr/05"
"탄생응원","청년, 신혼 부부 지원","청년공감 릴레이 토크 콘서트","청년공감 릴레이 토크 콘서트","청년세대 대상으로 달라진 결혼 가치관에 대한 사회적 공감대 형성과 고민을 나누고 결혼에 대한 긍정적 메시지 전달?확산을 위한 콘서트 개최","2030 청년세대","연애?결혼 등 관련 주제를 선정하여 토크 콘서트 개최","","서울특별시 1인가구담당관 02)2133-6157","임신?출산","임신?출산 준비","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://blog.naver.com/dakhosa/223240989132","."
"임신","여가지원"," ","임산부 배려공간 조성","ㅇ 교통 약자인 임산부의 엘리베이터 안전사고 예방 및 배려문화 확산을 위해 엘리베이터 내?외부에 임산부 배려공간 조성(엠블럼 부착)   - 임산부를 위해 해당 공간을 비워두고 양보하는 사회 분위기 확산 유도 ㅇ 임산부 배려공간 조성 현황(총 15개 기관, 49개소 / '24.4월 기준)   - 2023년 조성 : 서울식물원, 서울역사박물관, 서울공예박물관, 서울시립과학관, 서울시립미술관 서소문본관, 북서울미술관, 서울시립미술아카이브, 서울시여성가족재단 여성플라자, 스페이스살림, 서울의료원(총 10개소)   - 2024년 조성 : 서울시청, 세종문화회관, 서울기록원, 서울디자인재단, 서울시설공단(7개소), 서울물재생시설공단(2개소), 서울교통공사(3개소), 성동구청, 동작구청(5개소), 관악구청(6개소), 은평구청(3개소), 영등포구청(3개소), 양천구청(9개소), 서초구청(5개소), 서울에너지드림센터","임산부","","","","연령무관","임신 - 여가지원","서울시",".","."
"탄생응원","청년, 신혼 부부 지원","공공공간 활용 나만의 결혼식","공공공간 활용 나만의 결혼식","공공예식장 제공 및 결혼 컨셉기획부터 예식까지 종합 서비스 지원","서울시 거주자 또는 생활권자인 (예비)부부","상담사와 사전상담 후 예식공간별 전담 플래너 업체와 종합상담을 통해 계약 ? 온라인상담예약 : 서울가족포털(패밀리서울) ‘나만의 결혼식’ 웹페이지 ? 전화상담 : 1899-2154 (둘(2)이 하나(1)되어 오(5)래 사(4)세요)","","서울시 가족다문화담당관(02-2133-8687)","","임신?출산 준비","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://familyseoul.or.kr/wedding","https://familyseoul.or.kr/wedding"
"출산","급여?바우처"," ","1인 자영업자?프리랜서 임산부 출산급여 지원","‘임산부 출산급여’ 추가 지원 90만원 1인당 출산급여 240만원 보장 = <현행>고용보험 지원 150만원 + <신규> 서울시 추가지원 90만원","지원대상 2024.4.22.이후 출산한 1인 자영업자 및 프리랜서 등 임산부  자격요건 ①고용노동부 ‘고용보험 미적용자 출산급여’ 기 지급자 ②신청일 기준 서울시 거주 및 자녀 서울시 출생신고 ③출산일로부터 1년 이내 신청  준비서류 가족관계증명서(전자가족관계등록시스템 https://efamily.scourt.go.kr), 고용보험 미적용자 출산급여 지급결정통지서(직인 포함) 문의 국번없이 1350","몽땅정보 만능키 홈페이지에서 신청 - 2025.3. 11.(화)","","다산콜센터(02-120)","연령무관","출산 - 급여?바우처","서울시",".","."
"출산","급여?바우처"," ","1인 자영업자?프리랜서 배우자 출산휴가 지원금","1인 자영업자 등에 배우자 출산휴가급여 80만원 지원","신청일 기준 서울시 거주 배우자 출산휴가를 사용한 1인 자영업자ㆍ노무제공자ㆍ플랫폼종사자ㆍ예술인ㆍ프리랜서 등 【지원제외자】 ? 유산?사산의 경우, 유사 사업수혜자 ‘배우자 출산휴가급여’(고용노동부) ? 신청자와 배우자, 출산자녀 모두 외국인인 경우 ? 부동산 임대사업자(부동산임대 관련한 소득활동은 불인정)    ※ 다만, 1개의 사업자등록증에 부동산 임대업 외 타 업종이 있는 경우 지원신청 가능 【1인 자영업자 등 이란?】 ? 「근로복지기본법」제95조의2제1항제2호에 따른 '1인 자영업자'  ? 「산업재해보상보험법」제91조의15의 적용을 받는 '노무제공자' 및 '플랫폼 종사자'  ? 「예술인복지법」제2조제2호에 따른 '예술인'으로「예술인복지법」제4조의4에 따른 문화예술용역 계약을 체결하고, 다른 사람을 사용하지 않고 자신이 직접 노무를 제공하는 사람  ? 「서울특별시 노무제공자 및 프리랜서 권익보호와 지원에 관한 조례」제2조에 따른 '프리랜서'  ? 기타 고용보험 수급요건 미충족 근로자, 고용보험법 적용제외 사업의 근로자, 고용보험 미성립사업장의 미가입근로자","ㅇ 신청방법 : 몽땅정보 만능키(https://umppa.seoul.go.kr)에서 2025. 3. 11.(화) ㅇ 신청자격  ① 배우자가 출산한 날부터 90일 이내에 배우자 출산휴가* 사용자 ② 2024년 4월 22일 이후 자녀 출산 및 서울시 출생신고 ③ 신청일 기준 신청자, 배우자, 출생자녀 주민등록상 서울시 거주   ※ 사업자등록을 한 경우 출산일 기준으로 사업장 소재지가 서울시이어야 함   ※ 사실혼, 결혼이민자(비자 F-5-2, F-6) * 다문화가정 ㅇ 지급요건 : 출산일 이전 18개월 중 3개월 이상 소득활동이 있는 자 ㅇ 신청시기 : 배우자 출산휴가 휴가가 끝난 날 이후 12개월 이내     ※ 단, ’24. 4. 22.~’24. 6. 30.기간 중 출생한 자녀의 아빠 경우 ’25. 6. 30.까지 신청   * 배우자 출산휴가 사용   - 배우자 출산한 날로부터 90일 이내 배우자 출산휴가를 사용   - 배우자 출산한 날로부터 90일 지나면 배우자 출산급여 신청불가   - 1회에 한정 분할 사용 가능  ※ 만일 분할사용으로 인해 10일 중 일부만 사용한 경우에도 나머지 휴가를 출산한 날부터 90일 이내에 시작해야 함  ㅇ 지원자격 확인 방법 : 행정정보공동이용을 통해 지원자격 검증 ※ 제출하지 않아도 되는 구비서류    주민등록표 등?초본, 건강보험자격득실확인서, 고용보험피보험자격이력내역서(상용), 부가가치세과세표준증명, 소득금액증명, 사업자등록증명 ※ 제출해야 하는 구비서류  가족관계증명서, 부가가치세면세사업자수입금액증명, 사용증명서(근로기준법 39조), 노무제공자?예술인 표준계약서, 용역계약서, 이체확인증, 원천징수영수증 등 ※ 행정정보공동이용을 통해 지원자격에 필요한 정보가 확인되지 않을 경우 필요서류 제출을 요청할 수 있습니다. ㅇ 지급방법 : 지원대상 계좌로 이체   ※ 지원대상 계좌로 지급하는 것이 원칙이나 예외적으로 압류방지계좌만 보유, 채무불이행으로 금전채권 압류 등 제3자 계좌로 지급   - 온라인으로 신청한 후 대리수령 신청서 구청방문 제출(제3자 계좌 등록) ㅇ 지급결정 : 서울톡 ? 문자   - 신청결과, 지원대상이 아닌 경우 부적격 사유, 지원금 지급 등 안내","","다산콜센터(02-120)","연령무관","출산 - 급여?바우처","서울시",".","."
"육아","돌봄지원"," ","부모급여","○ 0세 아동을 가정 양육하는 경우 : 월 100만원 현금 지급 ○ 1세 아동을 가정 양육하는 경우 : 월 50만원 현금 지급 ○ 어린이집 이용 시, 영유아 보육료 신청 필요  - 0세 : 어린이집 재원 시, 월 보육료 전액(보육료바우처 54만원) + 부모급여 차액 현금 46만원 지급  - 1세 : 어린이집 재원 시, 월 보육료 전액(보육료바우처 47만5천원) + 현금 2.5만원 지","○ 2023년 1월 1일 이후 출생한 2세 미만의 아동(0~23개월) ○ 2세 생일이 도래하는 달의 전 달까지 최대 24개월간 지","동 주민센터 방문 또는   복지로( <a	href='https://www.bokjiro.go.kr'   target='_blank'>  https://www.bokjiro.go.kr)  </a> 에서 온라인 신청","","보건복지부 콜센터 (129)","연령무관","육아 - 돌봄지원","서울시","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004657","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004657"
"육아","생활지원"," ","가족화장실","남녀 구분 없이 영유아 동반 엄마아빠의 이용이 편리하도록 설비와 물품 등을 갖춘 화장실 조성","아이 동반 가족","공공화장실, 공공시설, 공원, 한강공원, 수변공간 등 방문시 이용가능","여건에 따라 탄력적 운영","서울시 저출생담당관(02-2133-5031)","연령무관","육아 - 생활지원","서울시","https://map.seoul.go.kr/smgis2/short/6ONnA","https://map.seoul.go.kr/smgis2/short/6ONnA"
"임신준비","건강지원"," ","정?난관 복원 시술비 지원","정?난관 복원 시술 관련 요양급여 비용 중 일부?전액 본인부담금 최대 100만원까지 지원(생애 1회)","영구피임시술(정관?난관 절제술 또는 결찰술)을 받은 자 중에서 임신?출산을 위해 정?난관 복원 시술을 받은 서울 시민  - 남성 만 55세 이하(1969년 이후 출생)  - 여성 만 49세 이하(1975년 이후 출생)","(민원)서울시임신출산정보센터(사이트) 온라인 신청 및 주소지 보건소 신청","평일(09:00~18:00)","주소지 보건소 다산콜센터(02-120)","0세 ~ 49세","임신준비 - 건강지원","서울시","https://seoul-agi.seoul.go.kr/coffin-restore","https://seoul-agi.seoul.go.kr/coffin-restore-applicant/"
"출산","생활지원"," ","산모신생아건강관리 취약계층  지원","(출산가정/ⓧ/수급자 또는 차상위 계층 출산가정, 중위소득 150% 이하 등/산모건강관리, 신생아 건강관리, 산모 식사준비, 세탁물 관리 및 청소 등)","","","","복지로","연령무관","출산 - 생활지원","서울시",".","."
"육아","교육지원"," ","한부모가족자녀 교육비 지원","(초중고에 재학중인 한부모가족, 보호대상자(한부모가족 지원법상 한부모가족)을 대상, 소득인정액이 중위소득 63% 이하인 한부모가족을 지원/초중고 입학금과 수업료 지원)","","","","","연령무관","육아 - 교육지원","서울시",".","."
"출산","건강지원"," ","해산급여 취약계층 지원","(의료급여 수급자 중 임신 중이거나 출산(유산 및 사산 포함)한 수급권자 및 출생일로부터 2세 미만의 자녀 지원/임신?출산 진료비 100만원 지급(다태아는 태아당 100만원)/주민센터, 복지로 온라인 신청)","","","","건복지부","연령무관","출산 - 건강지원","서울시",".","."
"출산","건강지원"," ","저소득 출산가정 본인부담금 취약계층 지원","(산모 또는 배우자가 생계?의료?주거?교육급여 수급자 또는 차상위계층에 해당하는 출산가정/산모?신생아 건강관리 서비스 이용 시 본인부담금 90% 지원/보건소, 서울시 임신출산정보센터 온라인 신청)","","","","서울시 임신?출산정보센터","연령무관","출산 - 건강지원","서울시",".","."
"육아","돌봄지원"," ","다자녀가구 자동차 취득세 취약계층 감면","(만18세 미만의 자녀 2명 이상을 양육하는 자(가족관계등록부 기준, 양자 및 배우자 자녀 포함/2027년 12월 31일까지 취득세 감면)","","","","행정안전부/관할지자체","연령무관","육아 - 돌봄지원","서울시",".","."
"육아","돌봄지원"," ","등하원 아이돌봄서비스","등원 사전준비, 준비물 챙기기, 등하원 동행, 하원 후 양육자 귀가 전까지 놀이활동 등 돌봄 서비스 제공","어린이집, 유치원, 학교, 학원 등하원 필요한 양육공백 가정의 만 12세 이하 아동","아이돌봄서비스 (https://www.idolbom.go.kr/)에서 신청가능하며 이용가정의 상황에 맞춰 서비스제공기관(자치구 가족센터 등)에서 전담 돌보미를 연계","등하원 시간대 전후(오전 07~10시, 오후 16~20시)","서울시 가족담당관(02-2133-6558), 가까운 자치구 서비스제공기관(자치구 가족센터 등) 연결(1577-2514)","연령무관","육아 - 돌봄지원","서울시","https://icare.seoul.go.kr/icare/dolbomMENU2/dolbomMENU2_3/dolbomMENU2_3_1.jsp","https://www.idolbom.go.kr/front/login"
"임신","임신준비지원"," ","서울시 남녀 임신준비 지원(건강관리 프로그램)(사업종료)","? 가임기 남녀 대상 엽산제 지원 및 건강검진(일반검진 및  ? 생식기능검사(남성 정액검사, 여성 난소기능검사) 지원","서울시 가임기 남녀","(민원)서울시 임신출산정보센터(사이트) 온라인 신청  및 예약일에 해당보건소 방문","본사업은 종료되었습니다.","주소지 보건소 사업담당 부서","연령무관","임신 - 임신준비지원","서울시","https://seoul-agi.seoul.go.kr/pregnancy-preparation-application","https://seoul-agi.seoul.go.kr/pregnancy-preparation-application"
"육아","수당?급여"," ","장애아 보육료","장애아반 편성아동: 월587,000원 지원 일반반 편성아동: 월 수납한도액 지원","(원칙)장애인복지카드를 소지한 만12세이하 미취학 장애아동","동 주민센터, 복지로에서 신청","기본보육: 9:00~16:00 연장보육: 16:00~19:30","교육부 콜센터(02-6222-6060)","0세 ~ 12세","육아 - 수당?급여","서울시","https://www.easylaw.go.kr/CSP/CnpClsMainBtr.laf?csmSeq=626&ccfNo=2&cciNo=3&cnpClsNo=1","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001067"
